symbol,shares,entry_price,current_price,market_value,unrealized_pnl,unrealized_pnl_pct,stop_loss,days_held,strategy
V,4,268.58,268.58,1074.32,0.0,0.0,252.7,394,adx_breakout
AMZN,11,182.41,182.41,2006.51,0.0,0.0,167.1,373,adx_breakout
GOOGL,12,169.18,169.18,2030.16,0.0,0.0,159.74,325,adx_breakout
AAPL,9,234.35000000000002,234.35000000000002,2109.15,0.0,0.0,219.72,297,adx_breakout
META,3,599.68,599.68,1799.04,0.0,0.0,549.05,290,adx_breakout
AVGO,9,231.81,231.81,2086.29,0.0,0.0,157.54,277,adx_breakout
