date,equity
2019-09-20,10000.0
2019-09-23,10000.0
2019-09-24,10000.0
2019-09-25,10000.0
2019-09-26,10000.0
2019-09-27,10000.0
2019-09-30,10000.0
2019-10-01,10000.0
2019-10-02,10000.0
2019-10-03,10000.0
2019-10-04,10000.0
2019-10-07,10000.0
2019-10-08,10000.0
2019-10-09,10000.0
2019-10-10,10000.0
2019-10-11,10000.0
2019-10-14,10000.0
2019-10-15,10000.0
2019-10-16,10000.0
2019-10-17,10000.0
2019-10-18,10000.0
2019-10-21,10000.0
2019-10-22,10000.0
2019-10-23,10000.0
2019-10-24,10000.0
2019-10-25,10000.0
2019-10-28,10000.0
2019-10-29,10000.0
2019-10-30,10000.0
2019-10-31,10000.0
2019-11-01,10000.0
2019-11-04,10000.0
2019-11-05,10000.0
2019-11-06,10000.0
2019-11-07,10000.0
2019-11-08,10000.0
2019-11-11,10000.0
2019-11-12,10000.0
2019-11-13,10000.0
2019-11-14,10000.0
2019-11-15,10000.0
2019-11-18,10000.0
2019-11-19,10000.0
2019-11-20,10000.0
2019-11-21,10000.0
2019-11-22,10000.0
2019-11-25,10000.0
2019-11-26,10000.0
2019-11-27,10000.0
2019-11-29,10000.0
2019-12-02,10000.0
2019-12-03,10000.0
2019-12-04,10000.0
2019-12-05,10000.0
2019-12-06,10000.0
2019-12-09,10000.0
2019-12-10,10000.0
2019-12-11,10000.0
2019-12-12,10000.0
2019-12-13,10000.0
2019-12-16,10000.0
2019-12-17,10000.0
2019-12-18,10000.0
2019-12-19,10000.0
2019-12-20,10000.0
2019-12-23,10000.0
2019-12-24,10000.0
2019-12-26,10000.0
2019-12-27,10000.0
2019-12-30,10000.0
2019-12-31,10000.0
2020-01-02,10000.0
2020-01-03,10000.0
2020-01-06,10000.0
2020-01-07,10000.0
2020-01-08,10000.0
2020-01-09,10001.54
2020-01-10,10005.18
2020-01-13,10016.1
2020-01-14,10021.140000000001
2020-01-15,10047.390000000001
2020-01-16,10055.44
2020-01-17,10081.69
2020-01-21,10099.820000000002
2020-01-22,10104.09
2020-01-23,10094.43
2020-01-24,10053.19
2020-01-27,9962.52
2020-01-28,10012.490000000002
2020-01-29,10022.960000000001
2020-01-30,10036.060000000001
2020-01-31,9926.380000000001
2020-02-03,9939.26
2020-02-04,9987.310000000001
2020-02-05,10008.16
2020-02-06,10020.12
2020-02-07,9997.77
2020-02-10,10016.02
2020-02-11,10028.67
2020-02-12,10073.42
2020-02-13,10069.990000000002
2020-02-14,10062.32
2020-02-18,10037.19
2020-02-19,10074.01
2020-02-20,10031.740000000002
2020-02-21,9986.710000000001
2020-02-24,9910.060000000001
2020-02-25,9910.060000000001
2020-02-26,9910.060000000001
2020-02-27,9910.060000000001
2020-02-28,9910.060000000001
2020-03-02,9910.060000000001
2020-03-03,9910.060000000001
2020-03-04,9910.060000000001
2020-03-05,9910.060000000001
2020-03-06,9910.060000000001
2020-03-09,9874.540000000003
2020-03-10,9907.100000000002
2020-03-11,9840.870000000003
2020-03-12,9715.810000000001
2020-03-13,9715.810000000001
2020-03-16,9715.810000000001
2020-03-17,9715.810000000001
2020-03-18,9737.41
2020-03-19,9699.970000000001
2020-03-20,9634.09
2020-03-23,9637.69
2020-03-24,9646.69
2020-03-25,9579.37
2020-03-26,9584.41
2020-03-27,9581.53
2020-03-30,9648.85
2020-03-31,9629.77
2020-04-01,9636.25
2020-04-02,9690.25
2020-04-03,9700.33
2020-04-06,9781.970000000001
2020-04-07,9641.53
2020-04-08,9701.800000000001
2020-04-09,9680.2
2020-04-13,9948.95
2020-04-14,10284.85
2020-04-15,10328.580000000002
2020-04-16,10551.39
2020-04-17,10533.27
2020-04-20,10474.0
2020-04-21,10188.52
2020-04-22,10442.32
2020-04-23,10381.1
2020-04-24,10514.380000000001
2020-04-27,10641.980000000001
2020-04-28,10411.470000000001
2020-04-29,10732.949999999999
2020-04-30,10793.94
2020-05-01,10384.800000000001
2020-05-04,10630.11
2020-05-05,10718.410000000002
2020-05-06,10786.090000000002
2020-05-07,10863.56
2020-05-08,11043.660000000002
2020-05-11,11138.52
2020-05-12,10983.32
2020-05-13,10870.87
2020-05-14,10987.390000000001
2020-05-15,11171.59
2020-05-18,11325.170000000002
2020-05-19,11325.28
2020-05-20,11563.160000000002
2020-05-21,11517.949999999999
2020-05-22,11566.770000000002
2020-05-26,11478.170000000002
2020-05-27,11390.77
2020-05-28,11324.710000000001
2020-05-29,11524.07
2020-06-01,11731.240000000002
2020-06-02,11713.180000000002
2020-06-03,11678.15
2020-06-04,11545.360000000002
2020-06-05,11638.610000000002
2020-06-08,11842.19
2020-06-09,11944.2
2020-06-10,12174.03
2020-06-11,11562.87
2020-06-12,11579.650000000001
2020-06-15,11840.880000000001
2020-06-16,11897.37
2020-06-17,11941.480000000003
2020-06-18,11947.810000000003
2020-06-19,11958.28
2020-06-22,12045.75
2020-06-23,12139.730000000003
2020-06-24,11844.320000000002
2020-06-25,11992.78
2020-06-26,11646.930000000002
2020-06-29,11764.650000000001
2020-06-30,12047.330000000002
2020-07-01,12230.410000000002
2020-07-02,12455.630000000001
2020-07-06,13036.400000000001
2020-07-07,13066.61
2020-07-08,13137.04
2020-07-09,13411.500000000002
2020-07-10,13842.930000000002
2020-07-13,13480.720000000001
2020-07-14,13636.990000000002
2020-07-15,13620.000000000004
2020-07-16,13492.370000000003
2020-07-17,13483.580000000002
2020-07-20,14120.700000000004
2020-07-21,13846.33
2020-07-22,13901.370000000003
2020-07-23,13446.960000000005
2020-07-24,13221.64
2020-07-27,13632.960000000003
2020-07-28,13358.890000000003
2020-07-29,13517.000000000002
2020-07-30,13549.630000000001
2020-07-31,13558.370000000003
2020-08-03,13712.890000000003
2020-08-04,13793.230000000001
2020-08-05,13820.760000000002
2020-08-06,13993.43
2020-08-07,13861.07
2020-08-10,13751.580000000002
2020-08-11,13371.410000000002
2020-08-12,13697.1
2020-08-13,13690.9
2020-08-14,13694.130000000003
2020-08-17,13958.650000000003
